"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-6b147d625307","א״א","א״א","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 44:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-5fbaf0fb6177","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 1:1:9"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-56d2e56b993b","א״נ","א״נ","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 31:1:1; Yefeh To'ar on Shemot Rabbah 44:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-15399d6d84a3","אבא","אבא","Unresolved","","No lexical entry yet","true","5","Yefeh To'ar on Shemot Rabbah 3:1:2; Yefeh To'ar on Shemot Rabbah 3:1:3; Yefeh To'ar on Shemot Rabbah 13:1:2; Yefeh To'ar on Shemot Rabbah 41:1:1; Yefeh To'ar on Shemot Rabbah 42:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-452da057737b","אבדנו","אבדנו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 26:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-367dd7af41a3","אבי","אבי","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 3:1:3; Yefeh To'ar on Shemot Rabbah 12:1:4"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-1bb6eecbfd4b","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 1:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-5cc12d83a253","אביו","אביו","Unresolved","","No lexical entry yet","true","4","Yefeh To'ar on Shemot Rabbah 3:1:2; Yefeh To'ar on Shemot Rabbah 3:1:3; Yefeh To'ar on Shemot Rabbah 8:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-d867aaacc7e1","אביך","אביכ","Unresolved","","No lexical entry yet","true","4","Yefeh To'ar on Shemot Rabbah 3:1:3; Yefeh To'ar on Shemot Rabbah 24:1:1; Yefeh To'ar on Shemot Rabbah 27:1:1; Yefeh To'ar on Shemot Rabbah 27:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-2553a3a38a61","אבנימוס","אבנימוס","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 13:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-c07b770ba822","אבשלום","אבשלומ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 1:1:7"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-298322626b8d","אגדה","אגדה","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 16:1:2; Yefeh To'ar on Shemot Rabbah 32:1:1; Yefeh To'ar on Shemot Rabbah 50:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-206fb1ba54fe","אגדתא","אגדתא","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 7:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-6776a66b953e","אגמלך","אגמלכ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 31:1:4"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-d5c7d4064442","אגר","אגר","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 13:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-975e3aada658","אדבר","אדבר","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 45:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-d6fe4d8b5b56","אדמתך","אדמתכ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 25:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-f49213869694","אדמתם","אדמתמ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 30:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-8a421a1b3974","אדרבה","אדרבה","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 25:1:1; Yefeh To'ar on Shemot Rabbah 29:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-2f604e11c1d3","אהא","אהא","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 3:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-8db17e8c4301","אהב","אהב","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 30:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-5203e0cb8516","אוירה","אוירה","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 1:1:9"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-1e395074082a","אוכליהם","אוכליהמ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 30:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-36cface16fda","אולי","אולי","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 3:1:2; Yefeh To'ar on Shemot Rabbah 3:1:3; Yefeh To'ar on Shemot Rabbah 41:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-b39e910e0e7b","אופנים","אופנימ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 28:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-da282e993871","אורחותיו","אורחותיו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 1:1:4"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-7f72806f9055","אותי","אותי","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 20:1:6; Yefeh To'ar on Shemot Rabbah 32:1:3; Yefeh To'ar on Shemot Rabbah 51:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-423ac1a971a1","אותך","אותכ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 24:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-f0b76358052d","אזוב","אזוב","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 17:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-0d80187a2acd","אח״ז","אח״ז","Unresolved","","No lexical entry yet","true","5","Yefeh To'ar on Shemot Rabbah 2:1:3; Yefeh To'ar on Shemot Rabbah 18:1:1; Yefeh To'ar on Shemot Rabbah 24:1:3; Yefeh To'ar on Shemot Rabbah 27:1:1; Yefeh To'ar on Shemot Rabbah 43:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-df37df4924cc","אחון","אחונ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 9:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-87b6ddd24557","אחז","אחז","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 37:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-6b66b6fd422b","אחזו","אחזו","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 22:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-8b4adb4b341f","אחזק","אחזק","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 6:1:9"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-993f426145ae","אחיר","אחיר","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 11:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-f068eff2bee4","אחריתי","אחריתי","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 7:1:3; Yefeh To'ar on Shemot Rabbah 17:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-1e678d41c1fd","אחרת","אחרת","Unresolved","","No lexical entry yet","true","6","Yefeh To'ar on Shemot Rabbah 1:1:9; Yefeh To'ar on Shemot Rabbah 13:1:4; Yefeh To'ar on Shemot Rabbah 20:1:2; Yefeh To'ar on Shemot Rabbah 26:1:1; Yefeh To'ar on Shemot Rabbah 46:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-9c9fc6e2b85a","איבה","איבה","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 1:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-6b6b3bad4b6b","איזהו","איזהו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 8:1:8"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-fba0f06d5c13","איטימוס","איטימוס","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 11:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-9feb0f42afd0","איידי","איידי","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 34:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-7ac9206e4253","איכא","איכא","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 20:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-0f80cc18daa2","איכפת","איכפת","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 20:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-f214ce33e7fb","אילולי","אילולי","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 48:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-e199c428a4b0","איפה","איפה","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 11:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-4f64dd2d7a9c","אית","אית","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 6:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-5c87e90e8409","איתא","איתא","Unresolved","","No lexical entry yet","true","17","Yefeh To'ar on Shemot Rabbah 1:1:9; Yefeh To'ar on Shemot Rabbah 3:1:1; Yefeh To'ar on Shemot Rabbah 4:1:3; Yefeh To'ar on Shemot Rabbah 6:1:2; Yefeh To'ar on Shemot Rabbah 8:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-97be8513e681","איתמר","איתמר","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 51:1:1; Yefeh To'ar on Shemot Rabbah 51:1:4"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-3bc4532ee608","אכיש","אכיש","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 19:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-55fe4e6e2cdd","אכלך","אכלכ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 45:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-f3bdafd328f3","אכתב","אכתב","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 47:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-0cf44e121bf4","אכתוב","אכתוב","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 47:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-52f6074300b8","אלהא","אלהא","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 48:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-3dfdbf2e49a7","אלוה","אלוה","Unresolved","","No lexical entry yet","true","4","Yefeh To'ar on Shemot Rabbah 6:1:7; Yefeh To'ar on Shemot Rabbah 8:1:11; Yefeh To'ar on Shemot Rabbah 39:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-fce30547f3df","אליהוא","אליהוא","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 34:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-fe846a4e5c48","אליהן","אליהנ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 6:1:9"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-36669086290c","אליכם","אליכמ","Unresolved","","No lexical entry yet","true","5","Yefeh To'ar on Shemot Rabbah 9:1:4; Yefeh To'ar on Shemot Rabbah 42:1:8"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-90290bceeca8","אליעזר","אליעזר","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 51:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-ad6fd045900c","אמונות","אמונות","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 51:1:1; Yefeh To'ar on Shemot Rabbah 51:1:2; Yefeh To'ar on Shemot Rabbah 51:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-d111c4410b31","אמונתך","אמונתכ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 38:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-63dce293222e","אמונתנו","אמונתנו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 38:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-f87c113dc506","אמות","אמות","Unresolved","","No lexical entry yet","true","5","Yefeh To'ar on Shemot Rabbah 8:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-a55369de32e6","אמינא","אמינא","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 13:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-f172da4b2c92","אמיתותו","אמיתותו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 16:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-3ebb0f4f8a17","אמצא","אמצא","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 22:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-822f9d13204b","אמרינן","אמריננ","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 32:1:2; Yefeh To'ar on Shemot Rabbah 42:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-99321baeb878","אמתים","אמתימ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 8:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-934585d2643b","אמתך","אמתכ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 9:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-033c671e948c","אמתתם","אמתתמ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 3:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-ce3793c903f6","אנטיוכוס","אנטיוכוס","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 26:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-ff43bc3486bd","אנפי","אנפי","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 41:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-937d42d8799e","אסביר","אסביר","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 13:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-cb28a1dfbc6e","אסף","אספ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 15:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-b19656c61b26","אסרם","אסרמ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 11:1:6"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-7f505fba0703","אעלה","אעלה","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 32:1:1; Yefeh To'ar on Shemot Rabbah 45:1:1; Yefeh To'ar on Shemot Rabbah 48:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-5152b797f77b","אעשה","אעשה","Unresolved","","No lexical entry yet","true","4","Yefeh To'ar on Shemot Rabbah 9:1:2; Yefeh To'ar on Shemot Rabbah 9:1:3; Yefeh To'ar on Shemot Rabbah 18:1:3; Yefeh To'ar on Shemot Rabbah 30:1:7"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-e983abaddc65","אפגר","אפגר","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 13:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-22d391f8f10c","אפו","אפו","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 2:1:3; Yefeh To'ar on Shemot Rabbah 12:1:1; Yefeh To'ar on Shemot Rabbah 13:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-dd4305eef155","אפילה","אפילה","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 2:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-e3069c91a7d6","אפין","אפינ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 13:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-1e207fbd41c6","אפך","אפכ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 43:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-09220b514187","אפס","אפס","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 34:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-b9ab77337c3b","אפתח","אפתח","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 50:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-da193596e6cb","אץ","אצ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 51:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-1e4e4eb6fb3c","ארבעים","ארבעימ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 1:1:9"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-e230339206df","ארון","ארונ","Unresolved","","No lexical entry yet","true","6","Yefeh To'ar on Shemot Rabbah 8:1:2; Yefeh To'ar on Shemot Rabbah 36:1:2; Yefeh To'ar on Shemot Rabbah 50:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-724ff52c3f03","ארונו","ארונו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 8:1:4"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-13d5306c7e9e","ארמי","ארמי","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 12:1:4"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-9cb51e52598f","אשוריך","אשוריכ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 24:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-99bdf9d38247","אשלח","אשלח","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 9:1:7"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-1710bffabf33","אשם","אשמ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 19:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-0701baddf7f7","אשמיע","אשמיע","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 9:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-b24eab5e7618","אשמע","אשמע","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 9:1:7"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-6426122600ee","אשתו","אשתו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 43:1:4"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-5aa81bfe0690","אתי","אתי","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 6:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-9e4317681b00","אתיא","אתיא","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 8:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-814e8f08294f","אתפאר","אתפאר","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 21:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-f77c4facc862","ב׳","ב׳","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 9:1:5; Yefeh To'ar on Shemot Rabbah 13:1:1; Yefeh To'ar on Shemot Rabbah 35:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-e254e9c7f875","ב״ה","ב״ה","Unresolved","","No lexical entry yet","true","2","Yefeh To'ar on Shemot Rabbah 9:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-07095ae0aadc","בא״א","בא״א","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 6:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-47cff4820b98","בא״י","בא״י","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 1:1:9"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-912492089e20","באביך","באביכ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 27:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-63587f74d016","באגדת","באגדת","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 10:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-0e85d2327b05","באדוניהו","באדוניהו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 1:1:7"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-3bf713578a73","באופנים","באופנימ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 39:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-95aafc22f97a","באושים","באושימ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 30:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-eff969e885e8","באחרונה","באחרונה","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 9:1:2; Yefeh To'ar on Shemot Rabbah 11:1:5; Yefeh To'ar on Shemot Rabbah 11:1:6"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-09d4feafd8da","באחת","באחת","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 42:1:5"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-03587fc61e4f","באמונתנו","באמונתנו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 13:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-57252e797ff4","באמצעית","באמצעית","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 16:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-3e3a2ccf368b","באמרו","באמרו","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 18:1:1"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-47adee8191e4","בארוכה","בארוכה","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 8:1:6"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-9587f60d3042","בארון","בארונ","Unresolved","","No lexical entry yet","true","3","Yefeh To'ar on Shemot Rabbah 50:1:2"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-218675d9e54c","בארזים","בארזימ","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 35:1:3"
"yefeh-toar-on-shemot-rabbah","Yefeh To'ar on Shemot Rabbah","tok-da2a71b79463","באריכות","באריכות","Unresolved","","No lexical entry yet","true","1","Yefeh To'ar on Shemot Rabbah 49:1:2"
