"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"orot","Orot","tok-93ef3167eec4","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 1:1"
"orot","Orot","tok-2c52c9a46779","אבוקתה","אבוקתה","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Connection to the Collective:9"
"orot","Orot","tok-d5648ab1f991","אברהם""","אברהמ""","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel and the Nations:3"
"orot","Orot","tok-b3fc52ec2906","אברין","אברינ","Unresolved","","No lexical entry yet","true","1","Orot, Seeds, Suffering Cleanses:3"
"orot","Orot","tok-8478847be8de","אגודתם","אגודתמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, The Individual and the Collective:1"
"orot","Orot","tok-313eac804883","אדם""","אדמ""","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Israel and its Rebirth 12:1; Orot, Lights from Darkness, Israel and its Rebirth 25:1"
"orot","Orot","tok-593fa2371c1a","אדמה""","אדמה""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 18:1"
"orot","Orot","tok-4578f77b5335","אדרין","אדרינ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 21:1"
"orot","Orot","tok-982654a791db","אהטר","אהטר","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 58:1"
"orot","Orot","tok-e68a5520477e","אוה״ע","אוה״ע","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Connection to the Collective:5"
"orot","Orot","tok-b23dbaa5f266","אוהבי""","אוהבי""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 1:1"
"orot","Orot","tok-e1c37a837366","אוהביה""","אוהביה""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Land of Israel 4:1"
"orot","Orot","tok-6d097e9df960","אויבתה","אויבתה","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Lights of Rebirth 2:1; Orot, Lights from Darkness, Great Calling:5"
"orot","Orot","tok-162b88ff3065","אויל""","אויל""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 7:1"
"orot","Orot","tok-2607842d0601","אוניברסליים","אוניברסליימ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel and the Nations:3"
"orot","Orot","tok-caa85e94c6be","אופית","אופית","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 3:1"
"orot","Orot","tok-0dcfd82acf79","אור""","אור""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 46:1"
"orot","Orot","tok-feeba94908d5","אורותיה","אורותיה","Unresolved","","No lexical entry yet","true","3","Orot, Lights from Darkness, Lights of Rebirth 58:1; Orot, The Process of Ideals in Israel, The Situation in Exile:6; Orot, Seeds, National Soul and Body:5"
"orot","Orot","tok-7acb631279ba","אורותיהם","אורותיהמ","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Israel and its Rebirth 25:1; Orot, Lights from Darkness, Lights of Rebirth 7:1"
"orot","Orot","tok-ea06c5ba9f50","אורותיו","אורותיו","Unresolved","","No lexical entry yet","true","3","Orot, Lights from Darkness, Israel and its Rebirth 12:1; Orot, Lights from Darkness, Lights of Rebirth 5:9; Orot, Lights of Israel, The Essence of Israel:7"
"orot","Orot","tok-2ae3f0cb7ef9","אוריהם","אוריהמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 5:9"
"orot","Orot","tok-462b04d7addc","אחד""","אחד""","Unresolved","","No lexical entry yet","true","3","Orot, Lights from Darkness, Lights of Rebirth 21:1; Orot, Lights from Darkness, Lights of Rebirth 45:1; Orot, The Process of Ideals in Israel, Dissolution of Ideals:1"
"orot","Orot","tok-90371bfded09","אחדותית","אחדותית","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Preciousness of Israel:1"
"orot","Orot","tok-2bba06c135b7","אחישנה""","אחישנה""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 18:1"
"orot","Orot","tok-049dad5d7a01","אחמיניה","אחמיניה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 32:1"
"orot","Orot","tok-de4f15a8177b","אחרת""","אחרת""","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, Dissolution of Ideals:5"
"orot","Orot","tok-88fd759e2cb5","אידיאליהם","אידיאליהמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 20:1"
"orot","Orot","tok-772d04caffe0","אידיאליותו","אידיאליותו","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, The First and Second Temples; Religion:10"
"orot","Orot","tok-be9dd29c1ab3","אידיאליים","אידיאליימ","Unresolved","","No lexical entry yet","true","3","Orot, Lights from Darkness, Lights of Rebirth 58:1; Orot, Lights from Darkness, Lights of Rebirth 71:2; Orot, Lights of Israel, Holiness of Israel:3"
"orot","Orot","tok-e71466b52921","אידיאלינו","אידיאלינו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 3:1"
"orot","Orot","tok-9361ed1f3587","אינדווידואלי","אינדווידואלי","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Preciousness of Israel:8"
"orot","Orot","tok-e9bfdb9e0cb1","איננו""","איננו""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 32:1"
"orot","Orot","tok-8c51e2067bc6","אינסטינקטיבית","אינסטינקטיבית","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 2:1"
"orot","Orot","tok-c03207e3b6f6","אינשי""","אינשי""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 15:1"
"orot","Orot","tok-eedb41db2838","איסתרס","איסתרס","Unresolved","","No lexical entry yet","true","1","Orot, Seeds, Suffering Cleanses:11"
"orot","Orot","tok-5b9bc99ddda2","אירופא","אירופא","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, War 8:1"
"orot","Orot","tok-9b2d612d0a1a","איתנותה","איתנותה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 7:1"
"orot","Orot","tok-78cbaa379c9a","איתניות","איתניות","Unresolved","","No lexical entry yet","true","1","Orot, Seeds, National Soul and Body:9"
"orot","Orot","tok-2b1d37da910f","איתניותם","איתניותמ","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, The Godly and the National Ideal in Israel:3"
"orot","Orot","tok-985a585e07fd","אכזריה","אכזריה","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, The First and Second Temples; Religion:8"
"orot","Orot","tok-a46513f441e3","אלומות","אלומות","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 5:9"
"orot","Orot","tok-5eb6b6a32d59","אליו""","אליו""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, War 9:1"
"orot","Orot","tok-50e70859f93c","אליכם""","אליכמ""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 68:3"
"orot","Orot","tok-449aba5f131c","אליליותה","אליליותה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 5:1"
"orot","Orot","tok-9abae2aa973f","אלמותה","אלמותה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 60:1"
"orot","Orot","tok-b15f818d1932","אלקיך""","אלקיכ""","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, The Essence of Israel:13"
"orot","Orot","tok-9c38e8391253","אמונותיה","אמונותיה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 67:1"
"orot","Orot","tok-3f855382eea8","אמונותיהם","אמונותיהמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Preciousness of Israel:1"
"orot","Orot","tok-0f577f67f961","אמונים""","אמונימ""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Great Calling:7"
"orot","Orot","tok-52e9dfb3b504","אמונתה","אמונתה","Unresolved","","No lexical entry yet","true","5","Orot, Lights from Darkness, Land of Israel 8:1; Orot, Lights from Darkness, War 9:2; Orot, Lights from Darkness, Israel and its Rebirth 4:1; Orot, Lights from Darkness, Israel and its Rebirth 30:1; Orot, Lights from Darkness, Lights of Rebirth 71:9"
"orot","Orot","tok-543e90756384","אמנש","אמנש","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 27:1"
"orot","Orot","tok-e763847c594e","אמתתה","אמתתה","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel and the Nations:6"
"orot","Orot","tok-7d0356b5e80b","אנכי""","אנכי""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 8:1"
"orot","Orot","tok-a75368840c8e","אספקלריא","אספקלריא","Unresolved","","No lexical entry yet","true","3","Orot, Lights from Darkness, Israel and its Rebirth 20:1; Orot, Seeds, The Wise is Preferable to Prophet:3"
"orot","Orot","tok-b5f9e5d12c3c","אספקלרית","אספקלרית","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 13:1"
"orot","Orot","tok-78a98838b1f3","אסתתי","אסתתי","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel and the Nations:3"
"orot","Orot","tok-77710251bcfc","אפסותה","אפסותה","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, The Essence of Israel:6"
"orot","Orot","tok-fe12f5c9b814","אפריונם","אפריונמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 50:1"
"orot","Orot","tok-5bc2041f902e","אקלימיים","אקלימיימ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 7:1"
"orot","Orot","tok-3326ac6d0a71","ארובותיהם","ארובותיהמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Connection to the Collective:11"
"orot","Orot","tok-9e4098846f16","ארנא","ארנא","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Preciousness of Israel:3"
"orot","Orot","tok-b8f07d885ff0","ארסית","ארסית","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Great Calling:5; Orot, Lights of Israel, Preciousness of Israel:5"
"orot","Orot","tok-e840049c48bb","ארץ־ישראל","ארצ־ישראל","Unresolved","","No lexical entry yet","true","2","Orot, Lights of Israel, Connection to the Collective:2; Orot, Lights of Israel, Love of Israel:10"
"orot","Orot","tok-ec9e7f2aa05d","אשאיר""","אשאיר""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 21:1"
"orot","Orot","tok-540abc8ead6e","אתכם""","אתכמ""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Land of Israel 3:2"
"orot","Orot","tok-934a3196ea8e","אתלטיא","אתלטיא","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 16:1"
"orot","Orot","tok-8f49d4a9ad48","ב׳","ב׳","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, War 9:2"
"orot","Orot","tok-d60b3a766af5","ב׳ה","ב׳ה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 1:1"
"orot","Orot","tok-4a2aa0e83513","ב״ה","ב״ה","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Lights of Rebirth 32:1; Orot, Lights of Israel, Connection to the Collective:2"
"orot","Orot","tok-9da62f7ed43e","ב״כסא","ב״כסא","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, The Situation in Exile:3"
"orot","Orot","tok-360e3f9f69e9","ב״לחם","ב״לחמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 60:1"
"orot","Orot","tok-814941b10a17","ב״מציאות""","ב״מציאות""","Unresolved","","No lexical entry yet","true","1","Orot, Seeds, Suffering Cleanses:10"
"orot","Orot","tok-954b99e0939d","ב״שמע","ב״שמע","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 21:1"
"orot","Orot","tok-21991410fa6e","ב״שקר","ב״שקר","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, The First and Second Temples; Religion:9"
"orot","Orot","tok-a10ff5172643","בא״י","בא״י","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 53:1"
"orot","Orot","tok-c3de78feacbf","באוהו","באוהו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 31:1"
"orot","Orot","tok-95b229c3ff74","באויליות","באויליות","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 4:1"
"orot","Orot","tok-d3385b98311c","באופיה","באופיה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 71:7"
"orot","Orot","tok-dcaad307bb32","באיכותה","באיכותה","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, Dissolution of Ideals:2"
"orot","Orot","tok-252ad32f9448","באיכותו","באיכותו","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Lights of Rebirth 15:1; Orot, Lights of Israel, The Essence of Israel:4"
"orot","Orot","tok-df87063b5728","באיכותן","באיכותנ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 26:1"
"orot","Orot","tok-a20e0e3f4f5e","באיתניותו","באיתניותו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 20:1"
"orot","Orot","tok-7440195f17fa","באמונתה","באמונתה","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel's Soul and its Rebirth:10"
"orot","Orot","tok-ee2a5a2c10a2","בארץ־ישראל","בארצ־ישראל","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Connection to the Collective:2"
"orot","Orot","tok-d7ca83b6b6f6","בארציותו","בארציותו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 29:1"
"orot","Orot","tok-4548757e4941","בארצכם""","בארצכמ""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 21:1"
"orot","Orot","tok-a238b1d98de9","באשלמותא""","באשלמותא""","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, Dissolution of Ideals:2"
"orot","Orot","tok-0c8c74bce29c","בב״א","בב״א","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Love of Israel:6"
"orot","Orot","tok-8fdf1530b3b2","בביטויים","בביטויימ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel and the Nations:3"
"orot","Orot","tok-893141d9d30a","בבנותה","בבנותה","Unresolved","","No lexical entry yet","true","1","Orot, Seeds, National Soul and Body:10"
"orot","Orot","tok-141445fa039f","בגבולים","בגבולימ","Unresolved","","No lexical entry yet","true","2","Orot, Seeds, National Soul and Body:5; Orot, Lights of Israel, The Essence of Israel:3"
"orot","Orot","tok-be401db56126","בגויתה","בגויתה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 5:8"
"orot","Orot","tok-c1048307ec34","בגונים","בגונימ","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Lights of Rebirth 13:1"
"orot","Orot","tok-49250738327b","בגופו","בגופו","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Lights of Rebirth 24:1; Orot, Lights of Israel, Holiness of Israel:5"
"orot","Orot","tok-66bace7e960c","בגשתנו","בגשתנו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Land of Israel 7:1"
"orot","Orot","tok-a9a1cd45b862","בדוגמתה","בדוגמתה","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, The First and Second Temples; Religion:3"
"orot","Orot","tok-c5da06817ff3","בדויה","בדויה","Unresolved","","No lexical entry yet","true","1","Orot, Seeds, Suffering Cleanses:6"
"orot","Orot","tok-f195e519297c","בדוכנו""","בדוכנו""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 5:8"
"orot","Orot","tok-b43994c00f5c","בדיאים","בדיאימ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 52:1"
"orot","Orot","tok-b3e87363f076","בדיליו","בדיליו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 25:1"
"orot","Orot","tok-78cf43f73bec","בדיקנות","בדיקנות","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Israel and its Rebirth 2:5; Orot, Seeds, The War of Ideas:4"
"orot","Orot","tok-7958e6433ec8","בדליגה","בדליגה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 8:1"
"orot","Orot","tok-0c21b78c088e","בדליגתה","בדליגתה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 35:1"
"orot","Orot","tok-9c9ebb56c2fc","בדמיונם","בדמיונמ","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Israel and its Rebirth 31:1; Orot, Lights from Darkness, Lights of Rebirth 72:3"
"orot","Orot","tok-4a7f29542e34","בהאדריכליות","בהאדריכליות","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, War 8:1"
"orot","Orot","tok-f4d2299c689c","בהבנותו","בהבנותו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 26:1"
"orot","Orot","tok-428362c4f9ee","בהגיונות","בהגיונות","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 24:1"
"orot","Orot","tok-b3ac7a0c9100","בהגיונותיה","בהגיונותיה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 6:1"
"orot","Orot","tok-5b9774894cb1","בהגלימו","בהגלימו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 5:6"
"orot","Orot","tok-797ad38037e2","בהגלמתו","בהגלמתו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 18:1"
"orot","Orot","tok-5b8e24198898","בהדימויים","בהדימויימ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel and the Nations:9"
"orot","Orot","tok-ce1d15ed1cf1","בהויתה","בהויתה","Unresolved","","No lexical entry yet","true","2","Orot, Lights of Israel, The Essence of Israel:4; Orot, Lights of Israel, Nationhood of Israel:7"
"orot","Orot","tok-0ed1f320bc88","בהופיעם","בהופיעמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Preciousness of Israel:1"
"orot","Orot","tok-d9ea22274f5c","בהוקרתם","בהוקרתמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, The Individual and the Collective:2"
"orot","Orot","tok-6199d982d727","בהזקיקם","בהזקיקמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel's Soul and its Rebirth:11"
"orot","Orot","tok-dbfe00d3c6be","בהחשפת","בהחשפת","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 22:1"
"orot","Orot","tok-6ec839c814f9","בהיסתוריה","בהיסתוריה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 1:1"
"orot","Orot","tok-3387dbe639ec","בהירוס","בהירוס","Unresolved","","No lexical entry yet","true","1","Orot, Seeds, The Souls of the World of Chaos:2"
"orot","Orot","tok-ad2735a4a619","בהמשך־הזמן","בהמשכ־הזמנ","Unresolved","","No lexical entry yet","true","1","Orot, Seeds, The Wise is Preferable to Prophet:3"
"orot","Orot","tok-192bd5ae781a","בהעיפו","בהעיפו","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, The First and Second Temples; Religion:4"
"orot","Orot","tok-816d51a9ba47","בהפסיכיקה","בהפסיכיקה","Unresolved","","No lexical entry yet","true","2","Orot, Lights of Israel, Nationhood of Israel:3"
"orot","Orot","tok-b236c795d65f","בהריסותנו","בהריסותנו","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, Unification of Ideals:4"
"orot","Orot","tok-f7298b96f94d","בהשקפת","בהשקפת","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Israel and its Rebirth 16:1; Orot, Lights from Darkness, Lights of Rebirth 64:5"
"orot","Orot","tok-740710315e65","בהשתדלות","בהשתדלות","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Lights of Rebirth 3:1; Orot, Lights from Darkness, Lights of Rebirth 22:1"
"orot","Orot","tok-cd9bc4453bc9","בהתאחדם","בהתאחדמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Preciousness of Israel:6"
"orot","Orot","tok-bac158726faf","בהתגדלם","בהתגדלמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel's Soul and its Rebirth:11"
"orot","Orot","tok-702fa79bf77f","בהתיחסות","בהתיחסות","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 3:1"
"orot","Orot","tok-7c514dc3da8e","בהתפרצם","בהתפרצמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 7:1"
"orot","Orot","tok-ff0f831aa8ed","בהתפשטות","בהתפשטות","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 3:2"
"orot","Orot","tok-e174bdcaa98f","בהתפשטותו","בהתפשטותו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 18:1"
"orot","Orot","tok-af93173e43d1","בו""","בו""","Unresolved","","No lexical entry yet","true","3","Orot, Lights from Darkness, War 10:1; Orot, Lights from Darkness, Israel and its Rebirth 29:1; Orot, Lights from Darkness, Lights of Rebirth 24:1"
"orot","Orot","tok-065d86e8eb58","בוסרית","בוסרית","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 23:1"
"orot","Orot","tok-1840805fe153","בזיום","בזיומ","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel's Soul and its Rebirth:6"
"orot","Orot","tok-bda2af2d1c44","בחבורם","בחבורמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 29:1"
"orot","Orot","tok-1d0116b332ad","בחבלית","בחבלית","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, War 10:1"
"orot","Orot","tok-4b4df1740971","בחהכמים","בחהכמימ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 17:1"
"orot","Orot","tok-a85e7e82a1e2","בחומריותה","בחומריותה","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, The Essence of Israel:1"
"orot","Orot","tok-d93deb6852ec","בחטיבותה","בחטיבותה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 20:1"
"orot","Orot","tok-ff2e30444daa","בחיטובה","בחיטובה","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel's Soul and its Rebirth:10"
"orot","Orot","tok-fbfddfcd63b8","בחיצוניו","בחיצוניו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 22:1"
"orot","Orot","tok-11ce60f2ebb3","בחמרניותה","בחמרניותה","Unresolved","","No lexical entry yet","true","1","Orot, Seeds, National Soul and Body:11"
"orot","Orot","tok-a475e7acee8c","בחנוכם","בחנוכמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 2:1"
"orot","Orot","tok-58301934aa7d","בחפשיותו","בחפשיותו","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 59:1"
"orot","Orot","tok-d9c7f0a963ff","בחרתנו""","בחרתנו""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 5:2"
"orot","Orot","tok-4ba2b55363fe","בחשאי","בחשאי","Unresolved","","No lexical entry yet","true","2","Orot, Lights from Darkness, Lights of Rebirth 5:8; Orot, Lights from Darkness, Lights of Rebirth 21:1"
"orot","Orot","tok-e4fac10f4478","בטולא","בטולא","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 32:1"
"orot","Orot","tok-d539acd62525","בטומאתה","בטומאתה","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, The Godly and the National Ideal in Israel:2"
"orot","Orot","tok-69351981284d","בטחונם","בטחונמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 9:1"
"orot","Orot","tok-a3075f3631ff","בטיהרא","בטיהרא","Unresolved","","No lexical entry yet","true","2","Orot, The Process of Ideals in Israel, The First and Second Temples; Religion:2; Orot, Lights of Israel, Preciousness of Israel:4"
"orot","Orot","tok-e7e7d13f2999","בטיהרא""","בטיהרא""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 14:1"
"orot","Orot","tok-c5c434774e93","בטללי","בטללי","Unresolved","","No lexical entry yet","true","1","Orot, Lights of Israel, Israel's Soul and its Rebirth:17"
"orot","Orot","tok-4de67a267931","בידיעתה","בידיעתה","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 19:1"
"orot","Orot","tok-b65874d84345","ביהמ״ק","ביהמ״ק","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 48:1"
"orot","Orot","tok-62ef679c74bc","ביחודים","ביחודימ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 34:1"
"orot","Orot","tok-526591de9713","ביחושה","ביחושה","Unresolved","","No lexical entry yet","true","3","Orot, The Process of Ideals in Israel, Dissolution of Ideals:3; Orot, Lights of Israel, The Essence of Israel:13; Orot, Lights of Israel, The Individual and the Collective:3"
"orot","Orot","tok-7e32ca3fbc48","ביחושו","ביחושו","Unresolved","","No lexical entry yet","true","1","Orot, The Process of Ideals in Israel, Dissolution of Ideals:3"
"orot","Orot","tok-c2635d1f3f7d","ביחושם","ביחושמ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 5:9"
"orot","Orot","tok-eb43137fa437","בינה""","בינה""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Israel and its Rebirth 27:1"
"orot","Orot","tok-fd102e57e729","בינונים","בינונימ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 4:1"
"orot","Orot","tok-7ac2748747fd","ביניהם""","ביניהמ""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Lights of Rebirth 55:1"
"orot","Orot","tok-cce378bc36d1","ביסורים","ביסורימ","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Great Calling:5"
"orot","Orot","tok-0276d7995a4b","בירושלם""","בירושלמ""","Unresolved","","No lexical entry yet","true","1","Orot, Lights from Darkness, Land of Israel 7:2"
