clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
א,א,53,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
א׳,א׳,2,0,60,,,,,,unresolved,No lexical entry yet.
א״ג,א״ג,1,0,60,,,,,,unresolved,No lexical entry yet.
א״ח,א״ח,1,0,60,,,,,,unresolved,No lexical entry yet.
אָב,אב,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָב״,אב״,1,0,60,,,,,,unresolved,No lexical entry yet.
אַבָּא,אבא,4,0,60,,,,,,unresolved,No lexical entry yet.
אָבֹא,אבא,2,0,60,,,,,,unresolved,No lexical entry yet.
אַבָּא״,אבא״,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבְדָה,אבדה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבַדּוֹן,אבדונ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָהוּ,אבהו,2,0,60,,,,,,unresolved,No lexical entry yet.
אַבָּהוּ,אבהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵבוּס,אבוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אבות,אבות,2,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אֲבוֹת,אבות,1,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אָבוֹת,אבות,9,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אָבוֹת״,אבות״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתַי,אבותי,4,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתֵיהֶם,אבותיהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתָיו,אבותיו,6,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֲבוֹתֶיךָ,אבותיכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲבוֹתֵינוּ,אבותינו,5,95,60,claim-3ca6aa3292ae353f,father | in a literal and immediate | figurative and remote application | chief | (fore-) father(-less) | × patrimony | principal. Compare names in 'Abi-'.,OpenScriptures morphHB,H1,CC BY 4.0,safe_claims_min60,
אֲבוֹתָם״,אבותמ״,2,0,60,,,,,,unresolved,No lexical entry yet.
אַבְטִינָס,אבטינס,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִי,אבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִי,אבי,4,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיא,אביא,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיהָ,אביה,3,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִיהֶם,אביהמ,4,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִיהֶם״,אביהמ״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִיהֶן,אביהנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיו,אביו,34,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיו״,אביו״,2,0,60,,,,,,unresolved,No lexical entry yet.
אָבִיךָ,אביכ,7,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִימֶלֶךְ,אבימלכ,9,99,60,claim-7c8448db97515637,Abimelech,Project-authored Midrash/Aggadah formula table,project-midrash-name:avimelech,project-authored / CC0,safe_claims_min60,
אָבִינוּ,אבינו,43,93,60,claim-b67781f92ed15ff2,"father, male parent | father | Av",Wikidata Lexeme,L63591,CC0,safe_claims_min60,
אָבִינוּ״,אבינו״,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִיר,אביר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבִישַׁג,אבישג,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבִישַׁי,אבישי,1,0,60,,,,,,unresolved,No lexical entry yet.
אבל,אבל,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבָל,אבל,20,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵבֶל,אבל,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָבֵל,אבל,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶבְלוֹ,אבלו,2,0,60,,,,,,unresolved,No lexical entry yet.
אֶבְלִי,אבלי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶבֶן,אבנ,11,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶבֶן״,אבנ״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶבְנֶה,אבנה,1,0,60,,,,,,unresolved,No lexical entry yet.
אַבְנוֹ,אבנו,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָנֶיהָ״,אבניה״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָנָיו,אבניו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָנָיו״,אבניו״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָנִים,אבנימ,9,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲבָנִים״,אבנימ״,2,0,60,,,,,,unresolved,No lexical entry yet.
אַבְנֵר,אבנר,1,93,60,claim-3870e659c52abd5f,given name | Abner,Wikidata Lexeme,L489734,CC0,safe_claims_min60,
אַבְרָהָם,אברהמ,110,99,60,claim-9d3a4abf45a425c5,Abraham,Project-authored Midrash/Aggadah formula table,project-midrash-name:avraham,project-authored / CC0,safe_claims_min60,
אַבְרָהָם״,אברהמ״,3,0,60,,,,,,unresolved,No lexical entry yet.
אֵבָרָיו,אבריו,1,90,60,claim-4e6105559fd81bf5 | claim-4575c36e621b550d | claim-dc519cfc9716cf95 | claim-b1b4f460d891c843,"his organ | its organ | organ, collection of tissues joined as a structural unit that serves a common function | organ",Wikidata Lexeme | OpenScriptures HebrewLexicon,L63650 | H82 | H83,CC0 | CC BY 4.0,safe_claims_min60,
אֲבָרֶכְךָ,אברככ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבָרֶכְךָ״,אברככ״,2,0,60,,,,,,unresolved,No lexical entry yet.
אַבְרָם,אברמ,11,99,60,claim-1369e43029bf779b,Abram,Project-authored Midrash/Aggadah formula table,project-midrash-name:avram,project-authored / CC0,safe_claims_min60,
אַבְרָם״,אברמ״,2,0,60,,,,,,unresolved,No lexical entry yet.
אַבְשָׁלוֹם,אבשלומ,11,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֹתָיו,אבתיו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲבֹתֶיךָ,אבתיכ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲגַג,אגג,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲגָג,אגג,3,0,60,,,,,,unresolved,No lexical entry yet.
אִגְּרוֹת,אגרות,4,0,60,,,,,,unresolved,No lexical entry yet.
אֲדַבֵּר,אדבר,2,0,60,,,,,,unresolved,No lexical entry yet.
אֱדוֹם,אדומ,6,99,60,claim-e2291252dec324ae,Edom,Project-authored Midrash/Aggadah formula table,project-midrash-name:edom,project-authored / CC0,safe_claims_min60,
אֲדוֹן,אדונ,1,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אֲדוֹנֵנוּ,אדוננו,5,93,60,claim-5ebc0ab69c89e8a5,mister,Wikidata Lexeme,L63673,CC0,safe_claims_min60,
אָדָם,אדמ,138,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָדֹם,אדמ,4,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָדָם״,אדמ״,6,0,60,,,,,,unresolved,No lexical entry yet.
אַדְמָא,אדמא,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדָמָה,אדמה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶדַּמֶּה,אדמה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲדָמָה״,אדמה״,1,0,60,,,,,,unresolved,No lexical entry yet.
אַדְמָתָם,אדמתמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַדְמָתָם״,אדמתמ״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנִי,אדני,12,0,60,,,,,,unresolved,No lexical entry yet.
אֲדֹנֵיהֶם,אדניהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵדַע,אדע,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲדָר,אדר,3,0,60,,,,,,unresolved,No lexical entry yet.
אָהַב,אהב,2,0,60,,,,,,unresolved,No lexical entry yet.
אָהַבְתָּ״,אהבת״,1,0,60,,,,,,unresolved,No lexical entry yet.
אַהֲבָתוֹ,אהבתו,2,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲהוּבִים,אהובימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶהְיֶה,אהיה,1,95,60,claim-0c2fb56957476647,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,safe_claims_min60,
אֶהְיֶה״,אהיה״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹהֶל,אהל,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָהֳלוֹ,אהלו,3,0,60,,,,,,unresolved,No lexical entry yet.
אָהֳלֵי,אהלי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹהָלִים,אהלימ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֶהְפֹךְ,אהפכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶהֱרֹג,אהרג,1,0,60,,,,,,unresolved,No lexical entry yet.
אַהֲרֹן,אהרנ,27,95,60,claim-3611a24c0a925bc6,Aharon | the brother of Moses | Aaron.,OpenScriptures morphHB,H175,CC BY 4.0,safe_claims_min60,
אוֹ,או,9,99,60,claim-5b593ec441dbbbb7,or,Project-authored function word table,project-function-word:o-or,project-authored / CC0,safe_claims_min60,
אוּד,אוד,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹדוֹת,אודות,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹדִיעֲךָ,אודיעכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹדֹת,אודת,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֵב,אוהב,4,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֵב״,אוהב״,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֲבוֹ,אוהבו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹהֲבִי,אוהבי,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹחֵז,אוחז,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹחֶזֶת,אוחזת,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹי,אוי,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹיְבִי,אויבי,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹיְבָיו,אויביו,3,93,60,claim-f29a51b5909512ac,"enemy, individual or a group that is verified as forcefully adverse or threatening | enemy",Wikidata Lexeme,L63756,CC0,safe_claims_min60,
אוֹיְבֶיךָ,אויביכ,2,93,60,claim-f29a51b5909512ac,"enemy, individual or a group that is verified as forcefully adverse or threatening | enemy",Wikidata Lexeme,L63756,CC0,safe_claims_min60,
אוֹיִבְךָ,אויבכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֱוִיל,אויל,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹכֵל,אוכל,5,0,60,,,,,,unresolved,No lexical entry yet.
אוֹכְלָה,אוכלה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹכְלִים,אוכלימ,3,0,60,,,,,,unresolved,No lexical entry yet.
אוֹכְלִין,אוכלינ,7,0,60,,,,,,unresolved,No lexical entry yet.
אוֹכֶלֶת,אוכלת,4,0,60,,,,,,unresolved,No lexical entry yet.
אוּלַי,אולי,4,0,60,,,,,,unresolved,No lexical entry yet.
אוּלָם,אולמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אוּמּוֹת,אומות,1,93,60,claim-740d3b7fe7789d1e,nation,Wikidata Lexeme,L63772,CC0,safe_claims_min60,
אוֹמֵר,אומר,303,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹמַר,אומר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹמֵר״,אומר״,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹמְרוֹ,אומרו,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹמְרִים,אומרימ,12,93,60,claim-b466e54df6a2e08f,to communicate something by speech; to say,Wikidata Lexeme,L205030,CC0,safe_claims_min60,
אוֹמְרִין,אומרינ,3,0,60,,,,,,unresolved,No lexical entry yet.
אָוֶן,אונ,3,93,60,claim-7072d56cfed376a5,"power, ability, strength",Wikidata Lexeme,L63777,CC0,safe_claims_min60,
אָוֶן״,אונ״,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹסִיפַת,אוסיפת,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹצָרוֹ,אוצרו,1,93,60,claim-62b9562cfb395311,"treasure, concentration of riches | treasure",Wikidata Lexeme,L63806,CC0,safe_claims_min60,
אוֹצְרוֹת,אוצרות,12,93,60,claim-62b9562cfb395311,"treasure, concentration of riches | treasure",Wikidata Lexeme,L63806,CC0,safe_claims_min60,
אוֹצָרוֹת,אוצרות,4,93,60,claim-62b9562cfb395311,"treasure, concentration of riches | treasure",Wikidata Lexeme,L63806,CC0,safe_claims_min60,
אוֹקְיָאנוֹס,אוקיאנוס,5,0,60,,,,,,unresolved,No lexical entry yet.
אוֹקְיָנוֹס,אוקינוס,5,0,60,,,,,,unresolved,No lexical entry yet.
אוֹר,אור,7,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוּר,אור,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹר״,אור״,4,0,60,,,,,,unresolved,No lexical entry yet.
אוֹרָה,אורה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹרָהּ,אורה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹרוֹ,אורו,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹרוֹת,אורות,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹרֵחַ,אורח,1,93,60,claim-e4913294e9dcac47,"guest, someone who is offered hospitability | guest",Wikidata Lexeme,L63819,CC0,safe_claims_min60,
אוֹרְחֵי,אורחי,2,0,60,,,,,,unresolved,No lexical entry yet.
אוּרִיאֵל,אוריאל,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹרָם,אורמ,1,95,60,claim-00e857a74a98d42c,illumination | (concrete) luminary (in every sense | including lightning | happiness | etc.) | bright | clear | day,OpenScriptures morphHB,H216,CC BY 4.0,safe_claims_min60,
אוֹרָן,אורנ,1,93,60,claim-41d9ab314b6562d8,"Pinus, genus of plants | Pinus",Wikidata Lexeme,L63823,CC0,safe_claims_min60,
אוֹת,אות,10,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אוֹת״,אות״,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתָהּ,אותה,30,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתָהּ״,אותה״,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתוֹ,אותו,89,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתוֹ״,אותו״,1,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתוֹת,אותות,2,52,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אוֹתִי,אותי,13,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתִיּוֹת,אותיות,3,93,60,claim-b141c1fb201d794e,"letter, grapheme in an alphabetic system of writing | letter",Wikidata Lexeme,L63830,CC0,safe_claims_min60,
אוֹתְךָ,אותכ,5,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתְךָ״,אותכ״,2,0,60,,,,,,unresolved,No lexical entry yet.
אוֹתָם,אותמ,63,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתָן,אותנ,9,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אוֹתָנוּ,אותנו,7,93,60,claim-56ef2fb2d93b84f0,(indicates a semantically definite direct object),Wikidata Lexeme,L1555922,CC0,safe_claims_min60,
אָז,אז,5,95,60,claim-aad159f600b554ee,at that time | place | also as a conjunction | therefore | beginning | for | from | hitherto,OpenScriptures morphHB,H227,CC BY 4.0,safe_claims_min60,
אֶזְבְּחָה,אזבחה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵזוֹר,אזור,1,0,60,,,,,,unresolved,No lexical entry yet.
אַזְכִּיר,אזכיר,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹזֶן,אזנ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָזְנָהּ,אזנה,1,0,60,,,,,,unresolved,No lexical entry yet.
אָזְנָם״,אזנמ״,1,0,60,,,,,,unresolved,No lexical entry yet.
אָח,אח,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחָא,אחא,2,0,60,,,,,,unresolved,No lexical entry yet.
אַחְאָב,אחאב,4,0,60,,,,,,unresolved,No lexical entry yet.
אֶחָד,אחד,99,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחַד,אחד,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֶחָד״,אחד״,3,0,60,,,,,,unresolved,No lexical entry yet.
אֲחָדִים,אחדימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָחוּדָה,אחודה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחוּזִים,אחוזימ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָחוּס,אחוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אָחוֹר,אחור,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲחוֹרֵי,אחורי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחוֹרַנִּית,אחורנית,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲחוֹת,אחות,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחוֹתָהּ,אחותה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחוֹתוֹ,אחותו,5,0,60,,,,,,unresolved,No lexical entry yet.
אֲחוֹתֵךְ,אחותכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחוֹתָם,אחותמ,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲחוֹתֵנוּ,אחותנו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחוֹתֵנוּ״,אחותנו״,1,0,60,,,,,,unresolved,No lexical entry yet.
אָחַז,אחז,5,0,60,,,,,,unresolved,No lexical entry yet.
אָחָז,אחז,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹחֶזֶת,אחזת,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲחֻזָּתוֹ,אחזתו,3,0,60,,,,,,unresolved,No lexical entry yet.
אֲחֻזָּתִי,אחזתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחֵי,אחי,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחַי,אחי,1,0,60,,,,,,unresolved,No lexical entry yet.
אָחִי,אחי,3,0,60,,,,,,unresolved,No lexical entry yet.
אָחִי״,אחי״,3,0,60,,,,,,unresolved,No lexical entry yet.
אֶחְיֶה,אחיה,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחַיֵּהוּ,אחיהו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֶחָיו,אחיו,10,0,60,,,,,,unresolved,No lexical entry yet.
אָחִיו,אחיו,17,0,60,,,,,,unresolved,No lexical entry yet.
אֶחָיו״,אחיו״,2,0,60,,,,,,unresolved,No lexical entry yet.
אָחִיו״,אחיו״,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲחִיּוֹתֵיהֶם,אחיותיהמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֶיךָ,אחיכ,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אָחִיךָ,אחיכ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֹחִילָה,אחילה,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחִים,אחימ,3,93,60,claim-1874d887f9a02d6b,"brother, male sibling | brother | sibling",Wikidata Lexeme,L63839,CC0,safe_claims_min60,
אֲחִיתֹפֶל,אחיתפל,1,0,60,,,,,,unresolved,No lexical entry yet.
אָחֹן,אחנ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֵר,אחר,26,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחַר,אחר,27,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחַר״,אחר״,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֲרוֹן,אחרונ,2,93,60,claim-65456b17396b8314,last one | last,Wikidata Lexeme,L63850,CC0,safe_claims_min60,
אֲחֵרוֹת,אחרות,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֲחֹרָי,אחרי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרֵי,אחרי,12,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרֶיהָ,אחריה,8,93,60,claim-24dc8a442fe052eb,after,Wikidata Lexeme,L491805,CC0,safe_claims_min60,
אַחֲרֵיהֶם,אחריהמ,11,0,60,,,,,,unresolved,No lexical entry yet.
אַחֲרֵיהֶן,אחריהנ,2,0,60,,,,,,unresolved,No lexical entry yet.
אַחֲרָיו,אחריו,26,93,60,claim-24dc8a442fe052eb,after,Wikidata Lexeme,L491805,CC0,safe_claims_min60,
אַחֲרֶיךָ״,אחריכ״,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲחֵרִים,אחרימ,5,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרִית,אחרית,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַחֲרִיתִי,אחריתי,1,0,60,,,,,,unresolved,No lexical entry yet.
אָחֳרָן״,אחרנ״,1,0,60,,,,,,unresolved,No lexical entry yet.
אחרת,אחרת,1,0,60,,,,,,unresolved,No lexical entry yet.
אַחֶרֶת,אחרת,5,0,60,,,,,,unresolved,No lexical entry yet.
אֲחַשְׁדַּרְפְּנַיָּא״,אחשדרפניא״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחַשְׁוֵרוֹשׁ,אחשורוש,9,0,60,,,,,,unresolved,No lexical entry yet.
אַחַת,אחת,41,93,60,claim-1a906f4f928dd931,the number 1 | 1,Wikidata Lexeme,L491804,CC0,safe_claims_min60,
אֲחֹתוֹ,אחתו,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲחֹתוֹ״,אחתו״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲחֹתִי,אחתי,2,0,60,,,,,,unresolved,No lexical entry yet.
אֲחֹתָם,אחתמ,1,0,60,,,,,,unresolved,No lexical entry yet.
אִי,אי,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵי,אי,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אִי״ן,אי״נ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹיְבֶיךָ,איביכ,3,0,60,,,,,,unresolved,No lexical entry yet.
איוב,איוב,8,99,60,claim-1f8749f0c9362e5e,Job,Project-authored Midrash/Aggadah formula table,project-midrash-source:iyov,project-authored / CC0,safe_claims_min60,
אִיזֶבֶל,איזבל,2,0,60,,,,,,unresolved,No lexical entry yet.
אֵיךְ,איכ,2,95,60,claim-29b4cbf4ecdf4a64,how? | how! | also where | how | what.,OpenScriptures HebrewLexicon,H349,CC BY 4.0,safe_claims_min60,
אַיִל,איל,8,0,60,,,,,,unresolved,No lexical entry yet.
אַיָּלָה,אילה,1,0,60,,,,,,unresolved,No lexical entry yet.
אִילָן,אילנ,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵימָה,אימה,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵימָה״,אימה״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵימָתוֹ,אימתו,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵימָתַי,אימתי,5,99,60,claim-7d807b10a030bd92,when,Project-authored Midrash/Aggadah formula table,project-midrash-grammar:eimatay,project-authored / CC0,safe_claims_min60,
אֵימָתְךָ,אימתכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אין,אינ,1,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אֵין,אינ,124,99,60,claim-353f3d2a4515cd6e,there is not | is not | without,Project-authored function word table,project-function-word:ein,project-authored / CC0,safe_claims_min60,
אָיִן״,אינ״,1,0,60,,,,,,unresolved,No lexical entry yet.
אֵינָהּ,אינה,6,0,60,,,,,,unresolved,No lexical entry yet.
אֵינוֹ,אינו,26,0,60,,,,,,unresolved,No lexical entry yet.
אֵינִי,איני,9,0,60,,,,,,unresolved,No lexical entry yet.
אֵינָם,אינמ,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵינָן,איננ,6,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אֵינֶנָּה,איננה,1,99,60,claim-64866f2418858b31,is not | is not it | is not her,Workspace grammar rule,grammar-form:איננה,N/A - project lexical rule,safe_claims_min60,
אֵינֶנּוּ,איננו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אִיסְטְרַטְלָטוֹס,איסטרטלטוס,1,0,60,,,,,,unresolved,No lexical entry yet.
אִירָשֶׁנָּה,אירשנה,1,0,60,,,,,,unresolved,No lexical entry yet.
אִירָשֶׁנָּה״,אירשנה״,1,0,60,,,,,,unresolved,No lexical entry yet.
אִישׁ,איש,72,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אִישׁ׳,איש׳,1,0,60,,,,,,unresolved,No lexical entry yet.
אִישׁ״,איש״,5,0,60,,,,,,unresolved,No lexical entry yet.
אִישֵׁךְ,אישכ,1,0,60,,,,,,unresolved,No lexical entry yet.
אִית,אית,2,0,60,,,,,,unresolved,No lexical entry yet.
אַךְ,אכ,3,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
אַכְזָרִיִּים,אכזריימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אַכְזָרִים,אכזרימ,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲכַחֵד,אכחד,1,0,60,,,,,,unresolved,No lexical entry yet.
אֲכִילָה,אכילה,3,0,60,,,,,,unresolved,No lexical entry yet.
אֹכֵל,אכל,1,0,60,,,,,,unresolved,No lexical entry yet.
אֹכֶל,אכל,5,0,60,,,,,,unresolved,No lexical entry yet.
