clicked_surface_form,normalized_form,occurrence_count,best_confidence_any_claim,safe_min_confidence,safe_claim_ids,safe_rendering_options,safe_source_names,safe_source_ids,safe_licenses,export_status,notes
דמועלים,דמועלימ,1,0,60,,,,,,unresolved,No lexical entry yet.
דמזבח,דמזבח,1,0,60,,,,,,unresolved,No lexical entry yet.
דמקבה״ב,דמקבה״ב,1,0,60,,,,,,unresolved,No lexical entry yet.
דנשים,דנשימ,1,0,60,,,,,,unresolved,No lexical entry yet.
דפאה,דפאה,1,0,60,,,,,,unresolved,No lexical entry yet.
דקדושין,דקדושינ,1,0,60,,,,,,unresolved,No lexical entry yet.
דקמיצה,דקמיצה,1,0,60,,,,,,unresolved,No lexical entry yet.
דשקלים,דשקלימ,2,0,60,,,,,,unresolved,No lexical entry yet.
ה׳,ה׳,2,0,60,,,,,,unresolved,No lexical entry yet.
ה״ד,ה״ד,1,0,60,,,,,,unresolved,No lexical entry yet.
ה״ו,ה״ו,2,0,60,,,,,,unresolved,No lexical entry yet.
ה״ח,ה״ח,1,0,60,,,,,,unresolved,No lexical entry yet.
ה״ט,ה״ט,1,0,60,,,,,,unresolved,No lexical entry yet.
הא,הא,1,99,60,claim-9b27f82ff15d8c6b,behold | this,Project-authored Aramaic grammar table,project-aramaic:ha,project-authored / CC0,safe_claims_min60,
האורגות,האורגות,1,0,60,,,,,,unresolved,No lexical entry yet.
הגוף,הגופ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הגר״א,הגר״א,1,0,60,,,,,,unresolved,No lexical entry yet.
הדבר,הדבר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
הוא,הוא,2,99,60,claim-b95415320cdb6061,he | it | that is,Project-authored function word table,project-function-word:hu,project-authored / CC0,safe_claims_min60,
הוריות,הוריות,1,0,60,,,,,,unresolved,No lexical entry yet.
הי׳,הי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
הי״ג,הי״ג,1,0,60,,,,,,unresolved,No lexical entry yet.
היכל,היכל,1,0,60,,,,,,unresolved,No lexical entry yet.
הכ״מ,הכ״מ,2,0,60,,,,,,unresolved,No lexical entry yet.
הכא,הכא,1,0,60,,,,,,unresolved,No lexical entry yet.
הכהנים,הכהנימ,1,91,60,claim-0860737d319f6ffe | claim-79ee0db7b41d911c,the priest | the chief ruler | the prince | literally one officiating | a priest | also (by courtesy) an acting priest (although a layman) | chief ruler | × own | priest | prince | principal officer.,OpenScriptures morphHB,H3548,CC BY 4.0,safe_claims_min60,
הלשכה,הלשכה,1,0,60,,,,,,unresolved,No lexical entry yet.
המשתלח,המשתלח,1,0,60,,,,,,unresolved,No lexical entry yet.
המתפרנס,המתפרנס,1,0,60,,,,,,unresolved,No lexical entry yet.
הני,הני,2,0,60,,,,,,unresolved,No lexical entry yet.
העלם,העלמ,1,0,60,,,,,,unresolved,No lexical entry yet.
הצל״ח,הצל״ח,1,0,60,,,,,,unresolved,No lexical entry yet.
השמיט,השמיט,2,0,60,,,,,,unresolved,No lexical entry yet.
התוס׳,התוס׳,1,0,60,,,,,,unresolved,No lexical entry yet.
וא״כ,וא״כ,1,95,60,claim-3e9daaf808adc198 | claim-69ddb95dde192fc2,and if so | and therefore | if so | therefore,Project-authored abbreviation table,project-abbreviation:im-ken,project-authored / CC0,safe_claims_min60,
ואולי,ואולי,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
ואולם,ואולמ,1,0,60,,,,,,unresolved,No lexical entry yet.
ובקבלה,ובקבלה,1,0,60,,,,,,unresolved,No lexical entry yet.
ודו״ק,ודו״ק,1,0,60,,,,,,unresolved,No lexical entry yet.
וה״נ,וה״נ,1,0,60,,,,,,unresolved,No lexical entry yet.
והובאו,והובאו,1,91,60,claim-a0054a7476e18b76 | claim-1f60409dec56770f,and the abide | and the apply | and the attain | and the befall | to go | come (in a wide variety of applications) | abide | apply | attain | × be | befall | besiege,OpenScriptures morphHB,H935,CC BY 4.0,safe_claims_min60,
והיו,והיו,1,95,60,claim-0c2fb56957476647,to exist | i.e. be | become | come to pass (always emphatic | and not a mere copula | auxiliary) | beacon | × altogether,OpenScriptures morphHB,H1961,CC BY 4.0,safe_claims_min60,
והך,והכ,1,0,60,,,,,,unresolved,No lexical entry yet.
והלכה,והלכה,1,0,60,,,,,,unresolved,No lexical entry yet.
והלכות,והלכות,1,0,60,,,,,,unresolved,No lexical entry yet.
והמנורה,והמנורה,1,0,60,,,,,,unresolved,No lexical entry yet.
והצל״ח,והצל״ח,1,0,60,,,,,,unresolved,No lexical entry yet.
והתם,והתמ,1,91,60,claim-88dfccebccdff6db | claim-1249433151b84c06,and literal | and figurative | and intransitive | and accomplish | to complete | in a good | a bad sense | literal | figurative | transitive | intransitive | accomplish,OpenScriptures morphHB,H8552,CC BY 4.0,safe_claims_min60,
וי״ל,וי״ל,1,0,60,,,,,,unresolved,No lexical entry yet.
וכ״ש,וכ״ש,1,99,60,claim-520b559fa0f7dae8,all the more so,Project-authored abbreviation table,project-abbreviation:vekol-sheken,project-authored / CC0,safe_claims_min60,
וכדתנן,וכדתננ,1,0,60,,,,,,unresolved,No lexical entry yet.
וכמש״ש,וכמש״ש,1,99,60,claim-91687dde77e7d9f8,and as written there | and as stated there,Project-authored abbreviation table,project-abbreviation:vav-kemo-shema-sham,project-authored / CC0,safe_claims_min60,
ולדידי׳,ולדידי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
ולמה,ולמה,1,0,60,,,,,,unresolved,No lexical entry yet.
ולשון,ולשונ,1,95,60,claim-2c9ff20f39d47c86,the tongue (of man | animals) | used literally (as the instrument of licking | eating | speech) | and figuratively (speech | an ingot | a fork of flame,OpenScriptures morphHB,H3956,CC BY 4.0,safe_claims_min60,
וסתם,וסתמ,1,0,60,,,,,,unresolved,No lexical entry yet.
וע׳,וע׳,1,0,60,,,,,,unresolved,No lexical entry yet.
וע״כ,וע״כ,1,95,60,claim-e06657771edda018 | claim-772a894cabd8dc78,and therefore | and therefore so | and on account of this | therefore | therefore so | on account of this,Project-authored abbreviation table,project-abbreviation:ayin-kaf,project-authored / CC0,safe_claims_min60,
וע״ל,וע״ל,2,0,60,,,,,,unresolved,No lexical entry yet.
וע״ש,וע״ש,1,95,60,claim-d65910a3c3bb2195 | claim-cc05bc8acc042c7c,and see there | see there,Project-authored abbreviation table,project-abbreviation:ayin-sham,project-authored / CC0,safe_claims_min60,
ועי׳,ועי׳,5,0,60,,,,,,unresolved,No lexical entry yet.
וצ״ל,וצ״ל,1,0,60,,,,,,unresolved,No lexical entry yet.
וצע״ק,וצע״ק,1,0,60,,,,,,unresolved,No lexical entry yet.
ושעיר,ושעיר,1,0,60,,,,,,unresolved,No lexical entry yet.
ות״ע,ות״ע,1,0,60,,,,,,unresolved,No lexical entry yet.
ותו״כ,ותו״כ,1,0,60,,,,,,unresolved,No lexical entry yet.
ותוס׳,ותוס׳,1,0,60,,,,,,unresolved,No lexical entry yet.
ותוספתא,ותוספתא,1,0,60,,,,,,unresolved,No lexical entry yet.
ז״ל,ז״ל,1,99,60,claim-a15ec656eb605fed,of blessed memory,Project-authored abbreviation table,project-abbreviation:zichrono-livracha,project-authored / CC0,safe_claims_min60,
זהורית,זהורית,1,0,60,,,,,,unresolved,No lexical entry yet.
זכרו,זכרו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
זריקה,זריקה,1,0,60,,,,,,unresolved,No lexical entry yet.
חדתין,חדתינ,1,0,60,,,,,,unresolved,No lexical entry yet.
ט׳,ט׳,1,0,60,,,,,,unresolved,No lexical entry yet.
ידעתי,ידעתי,1,0,60,,,,,,unresolved,No lexical entry yet.
יהודא,יהודא,1,0,60,,,,,,unresolved,No lexical entry yet.
יומא,יומא,1,0,60,,,,,,unresolved,No lexical entry yet.
ירושלמי,ירושלמי,2,93,60,claim-335ff85a62478dca,"Jerusalemi, a person living in Jerusalem | Jerusalemites",Wikidata Lexeme,L65637,CC0,safe_claims_min60,
ישנים,ישנימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
כ״מ,כ״מ,1,0,60,,,,,,unresolved,No lexical entry yet.
כד׳,כד׳,1,88,60,claim-8bc705fac27b144d | claim-6a429f3792581302,as the Name | like the Name | as God | like God | the Name | YHWH | God,Curated lexical entry,lex-yhwh-h3068,source metadata incomplete,safe_claims_min60,
כהונה,כהונה,2,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
כו׳,כו׳,2,99,60,claim-84c406203fafec18,etc. | and so forth,Project-authored abbreviation table,project-abbreviation:kaf-vav,project-authored / CC0,safe_claims_min60,
כיון,כיונ,2,95,60,claim-20f142641e215f7b,properly | a statue | i.e. idol | but used (by euphemism) for some heathen deity (perhaps corresponding to Priapus | Baal-peor) | Chiun.,OpenScriptures HebrewLexicon,H3594,CC BY 4.0,safe_claims_min60,
כלל,כלל,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
כמותו,כמותו,1,0,60,,,,,,unresolved,No lexical entry yet.
כמש״ל,כמש״ל,1,0,60,,,,,,unresolved,No lexical entry yet.
כמש״ש,כמש״ש,1,99,60,claim-7443a4ef35b46a32,as written there | as stated there,Project-authored abbreviation table,project-abbreviation:kemo-shema-sham,project-authored / CC0,safe_claims_min60,
כר״מ,כר״מ,1,0,60,,,,,,unresolved,No lexical entry yet.
כשירה,כשירה,1,91,60,claim-6200ca967ea47352 | claim-371649f59fbc4c11,as a song | like a song | as abstractly | like abstractly | as singing | like singing | as song | like song | a song | abstractly | singing | musical(-ick) | × sing(-er | -ing) | song.,OpenScriptures morphHB,H7892,CC BY 4.0,safe_claims_min60,
ל״א,ל״א,1,0,60,,,,,,unresolved,No lexical entry yet.
ל״ק,ל״ק,1,0,60,,,,,,unresolved,No lexical entry yet.
לא,לא,1,99,60,claim-2f5c57cb53577edd,not | no,Project-authored function word table,project-function-word:lo,project-authored / CC0,safe_claims_min60,
לגבי,לגבי,1,95,60,claim-4620dd2d469981c5,the back (as rounded) | by analogy | the top | rim | a boss | a vault | arch of eye | bulwarks,OpenScriptures morphHB,H1354,CC BY 4.0,safe_claims_min60,
לדידי׳,לדידי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
לזהו,לזהו,1,0,60,,,,,,unresolved,No lexical entry yet.
לזרים,לזרימ,1,89,60,claim-fe60532c0d50706b | claim-c40323b1afef6acc,to stranger | for stranger | of stranger | stranger,Wikidata Lexeme,L65102,CC0,safe_claims_min60,
ללמוד,ללמוד,2,0,60,,,,,,unresolved,No lexical entry yet.
לר״י,לר״י,1,0,60,,,,,,unresolved,No lexical entry yet.
לרבינו,לרבינו,1,0,60,,,,,,unresolved,No lexical entry yet.
לשחוט,לשחוט,1,0,60,,,,,,unresolved,No lexical entry yet.
לשיטתי׳,לשיטתי׳,1,0,60,,,,,,unresolved,No lexical entry yet.
לשכה,לשכה,2,0,60,,,,,,unresolved,No lexical entry yet.
לשקלים,לשקלימ,1,0,60,,,,,,unresolved,No lexical entry yet.
מ״ט,מ״ט,2,0,60,,,,,,unresolved,No lexical entry yet.
מבן,מבנ,1,0,60,,,,,,unresolved,No lexical entry yet.
מדכ׳,מדכ׳,1,0,60,,,,,,unresolved,No lexical entry yet.
מה,מה,1,99,60,claim-e5a0fd48343918ba,what | what which | how,Project-authored function word table,project-function-word:mah,project-authored / CC0,safe_claims_min60,
מה״צ,מה״צ,1,0,60,,,,,,unresolved,No lexical entry yet.
מועלים,מועלימ,2,0,60,,,,,,unresolved,No lexical entry yet.
מיהו,מיהו,1,0,60,,,,,,unresolved,No lexical entry yet.
מל״מ,מל״מ,1,0,60,,,,,,unresolved,No lexical entry yet.
ממעילה,ממעילה,1,0,60,,,,,,unresolved,No lexical entry yet.
מנחות,מנחות,1,0,60,,,,,,unresolved,No lexical entry yet.
מניחים,מניחימ,1,0,60,,,,,,unresolved,No lexical entry yet.
מעבודות,מעבודות,1,77,60,claim-7f7fd69c8e3bdab8,"from worship, service | of worship, service | from work, job, labor | of work, job, labor | from work | of work",Wiktionary via Kaikki,kaikki-9ce4c570c920,CC BY-SA 4.0 / GFDL,safe_claims_min60,
מש״כ,מש״כ,2,0,60,,,,,,unresolved,No lexical entry yet.
משא״כ,משא״כ,1,99,60,claim-04313faa4af749ee,unlike | which is not so,Project-authored abbreviation table,project-abbreviation:mah-she-ein-ken,project-authored / CC0,safe_claims_min60,
משירי,משירי,3,0,60,,,,,,unresolved,No lexical entry yet.
משש״ב,משש״ב,1,0,60,,,,,,unresolved,No lexical entry yet.
מתהל״ש,מתהל״ש,1,0,60,,,,,,unresolved,No lexical entry yet.
"מתרומת""","מתרומת""",1,0,60,,,,,,unresolved,No lexical entry yet.
נ״ב,נ״ב,1,0,60,,,,,,unresolved,No lexical entry yet.
נ״ד,נ״ד,1,0,60,,,,,,unresolved,No lexical entry yet.
נמי,נמי,1,0,60,,,,,,unresolved,No lexical entry yet.
ס״ז,ס״ז,1,0,60,,,,,,unresolved,No lexical entry yet.
ס״ל,ס״ל,1,99,60,claim-cdf1bd50302c4c1c,he holds | he maintains,Project-authored abbreviation table,project-abbreviation:savira-lei,project-authored / CC0,safe_claims_min60,
ספ״ק,ספ״ק,2,0,60,,,,,,unresolved,No lexical entry yet.
ספרא,ספרא,1,0,60,,,,,,unresolved,No lexical entry yet.
ע״ה,ע״ה,1,0,60,,,,,,unresolved,No lexical entry yet.
ע״ז,ע״ז,1,0,60,,,,,,unresolved,No lexical entry yet.
ע״ל,ע״ל,1,0,60,,,,,,unresolved,No lexical entry yet.
ע״ש,ע״ש,1,99,60,claim-cc05bc8acc042c7c,see there,Project-authored abbreviation table,project-abbreviation:ayin-sham,project-authored / CC0,safe_claims_min60,
עושין,עושינ,1,0,60,,,,,,unresolved,No lexical entry yet.
עי׳,עי׳,3,0,60,,,,,,unresolved,No lexical entry yet.
עמש״כ,עמש״כ,1,0,60,,,,,,unresolved,No lexical entry yet.
עני,עני,1,0,60,,,,,,unresolved,No lexical entry yet.
עצמו,עצמו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
פ׳,פ׳,2,0,60,,,,,,unresolved,No lexical entry yet.
פ״א,פ״א,1,0,60,,,,,,unresolved,No lexical entry yet.
פ״ב,פ״ב,3,0,60,,,,,,unresolved,No lexical entry yet.
פ״ג,פ״ג,1,0,60,,,,,,unresolved,No lexical entry yet.
פ״ד,פ״ד,1,0,60,,,,,,unresolved,No lexical entry yet.
פ״י,פ״י,1,0,60,,,,,,unresolved,No lexical entry yet.
פר,פר,1,0,60,,,,,,unresolved,No lexical entry yet.
פרוכות,פרוכות,1,0,60,,,,,,unresolved,No lexical entry yet.
פשוט,פשוט,1,0,60,,,,,,unresolved,No lexical entry yet.
צו,צו,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
צריכות,צריכות,1,0,60,,,,,,unresolved,No lexical entry yet.
ק״ל,ק״ל,1,0,60,,,,,,unresolved,No lexical entry yet.
ק״צ,ק״צ,1,0,60,,,,,,unresolved,No lexical entry yet.
קדושה,קדושה,1,63,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
קדושים,קדושימ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
קדושין,קדושינ,2,0,60,,,,,,unresolved,No lexical entry yet.
קודש,קודש,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
קיימינן,קיימיננ,1,0,60,,,,,,unresolved,No lexical entry yet.
קלות,קלות,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
קמיצה,קמיצה,1,0,60,,,,,,unresolved,No lexical entry yet.
קצת,קצת,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
ר׳,ר׳,1,99,60,claim-fe4d5c8b8582df89,Rabbi | Rav,Project-authored abbreviation table,project-abbreviation:rabbi,project-authored / CC0,safe_claims_min60,
ר״ה,ר״ה,1,0,60,,,,,,unresolved,No lexical entry yet.
ר״מ,ר״מ,1,0,60,,,,,,unresolved,No lexical entry yet.
רבינו,רבינו,4,0,60,,,,,,unresolved,No lexical entry yet.
שאמר,שאמר,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
שאני,שאני,1,95,60,claim-f598f86eb0464bfe,(as for) me | mine | myself | we | × which | × who.,OpenScriptures morphHB,H589,CC BY 4.0,safe_claims_min60,
שבא,שבא,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
שהגיה,שהגיה,1,0,60,,,,,,unresolved,No lexical entry yet.
שהשאיר,שהשאיר,1,0,60,,,,,,unresolved,No lexical entry yet.
שו״ר,שו״ר,1,0,60,,,,,,unresolved,No lexical entry yet.
שזכר,שזכר,1,0,60,,,,,,unresolved,No lexical entry yet.
שחיטה,שחיטה,1,0,60,,,,,,unresolved,No lexical entry yet.
של,של,2,99,60,claim-da8745b6f2ffc4cd,of | belonging to,Workspace grammar rule,grammar-particle:של,N/A - project lexical rule,safe_claims_min60,
שלא,שלא,2,95,60,claim-66b1bdfa8656b749,not (the simple | abs. negation) | by implication | no | often used with other particles | × before | or else | ere,OpenScriptures morphHB,H3808,CC BY 4.0,safe_claims_min60,
שם,שמ,1,65,60,,,,,,claims_below_safe_min60,No strict claim >=60%.
תוס׳,תוס׳,1,99,60,claim-6a3cf83a03fabb8f,Tosafot,Project-authored abbreviation table,project-abbreviation:tosafot,project-authored / CC0,safe_claims_min60,
תוספתא,תוספתא,2,0,60,,,,,,unresolved,No lexical entry yet.
תפתר,תפתר,1,0,60,,,,,,unresolved,No lexical entry yet.
תקלין,תקלינ,1,0,60,,,,,,unresolved,No lexical entry yet.
